Cd_71,uso_BI,Act_71_14,coduso_BI
YCT,EXTRACTIVO,Canteras,I
YDE,INSTALACIONES,Depuradoras aguas residuales,A
YDG,INSTALACIONES,Depósitos de gases de industria no agraria,A
YDL,INSTALACIONES,Depósitos de líquidos y tanques de industria no agraria,A
YDS,SANIDAD,Dispensario,Y
YGR,EDUCATIVO,Guardería,E
YGV,EXTRACTIVO,Graveras,I
YHG,SANIDAD,Higiene,Y
YHS,SANIDAD,Hospital,Y
YMA,EXTRACTIVO,Minas a cielo abierto,I
YME,ESTACIONAMIENTO,Muelles y embarcaderos,A
YPC,INDUSTRIAL,Piscifactorías y cetáreas,I
YRS,BENEFICENCIA,Residencia,Y
YSA,OFICINAS,Sindicato local,O
YSC,SANIDAD,Socorro,Y
YSL,INDUSTRIAL,Silos y depósitos de sólidos de industria no agraria,I
YSN,SANIDAD,Sanatorio,Y
YSO,OFICINAS,Sindicato provincial,O
YVR,INDUSTRIAL,Vertederos,I
Z  ,BENEFICENCIA,Otros,Y
ZAM,SANIDAD,Ambulatorio,Y
ZBE,URBANIZACION,Balsas y estanques,U
ZCA,COMERCIAL,Casino 20.000 h,C
ZCB,COMERCIAL,Club,C
ZCE,COMERCIAL,Casino +20.000 h,C
ZCL,SANIDAD,Clínica,Y
ZCT,EXTRACTIVO,Canteras,I
ZDE,INSTALACIONES,Depuradoras aguas residuales,A
ZDG,INSTALACIONES,Depósitos de gases de industria agrícola_ganadera_forestal,A
ZDL,INSTALACIONES,Depósitos de líquidos_tanques de industria agrícola_ganadera_forestal,A
ZDS,SANIDAD,Dispensario,Y
ZGR,EDUCATIVO,Guardería,E
ZGV,EXTRACTIVO,Graveras,I
ZHG,SANIDAD,Higiene,Y
ZHS,SANIDAD,Hospital,Y
ZMA,EXTRACTIVO,Minas a cielo abierto,I
ZME,ESTACIONAMIENTO,Muelles y embarcaderos,A
ZPC,INDUSTRIAL,Piscifactorías y cetáreas,I
ZRS,BENEFICENCIA,Residencia,Y
ZSA,OFICINAS,Sindicato local,O
ZSC,SANIDAD,Socorro,Y
