refcat,antig_bi,sin_reforma,e_ref_media,i_ref_minima,o_ref_total,r_ref_integral
0202906UG3900S,1960.0,0.0,,1997.0,,
0202907UG3900S,1990.0,0.0,,1990.0,,
0202908UG3900S,2009.0,0.0,,,,
0202909UG3900S,1988.0,0.0,,,1990.0,
0202910UG3900S,1960.0,0.0,,2002.0,,
0202912UG3900S,1960.0,0.0,1990.0,,,
0202913UG3900S,1960.0,0.0,,,,
0202914UG3900S,2005.0,0.0,,,,
0202915UG3900S,1970.0,0.0,,,,
0202917UG3900S,2003.0,0.0,,,,
0202918UG3900S,1970.0,,2005.0,,,
0202919UG3900S,1960.0,0.0,,,,
0202920UG3900S,1960.0,0.0,,2004.0,,
0202921UG3900S,1964.0,0.0,,,,
0202922UG3900S,2000.0,0.0,,,,2000.0
0202923UG3900S,1975.0,0.0,2006.0,,,
0202924UG3900S,2003.0,0.0,,,,
0202925UG3900S,1997.0,0.0,,,,
0202926UG3900S,2000.0,0.0,,,,
0202927UG3900S,1975.0,0.0,,,,
0202928UG3900S,1980.0,0.0,,,1994.0,
0202929UG3900S,1960.0,0.0,1987.0,,,
0202930UG3900S,1960.0,,1990.0,,,
0202931UG3900S,1960.0,0.0,,,,
0202932UG3900S,1984.0,0.0,,2011.0,,
0202933UG3900S,1965.0,,1998.0,,,
0202934UG3900S,2006.0,0.0,,,,
0202935UG3900S,1994.0,0.0,,,,
0202936UG3900S,1978.0,0.0,,,2000.0,
0202937UG3900S,1978.0,0.0,1999.0,,,
0202938UG3900S,1978.0,0.0,1999.0,,,
0202939UG3900S,1960.0,0.0,,,,
0202940UG3900S,1960.0,0.0,1990.0,,,
0202941UG3900S,2003.0,0.0,,,,
0202942UG3900S,1984.0,0.0,,,,
0202943UG3900S,2009.0,0.0,,,,
0202944UG3900S,1992.0,0.0,,,,
0202945UG3900S,1975.0,0.0,,,,
0202946UG3900S,1977.0,0.0,,,,
0202947UG3900S,1975.0,0.0,,,,
0202948UG3900S,1989.0,0.0,,,,
0202949UG3900S,1960.0,,,2000.0,,
0202950UG3900S,1960.0,0.0,,1999.0,,
0202951UG3900S,1970.0,0.0,2009.0,,,
0202952UG3900S,1960.0,0.0,1990.0,,,
0202953UG3900S,1961.0,0.0,,,,
0202954UG3900S,1960.0,,2002.0,,,
0202956UG3900S,1960.0,0.0,,,,
0202957UG3900S,1960.0,0.0,,2005.0,,
0202958UG3900S,1960.0,,1999.0,,,
0202959UG3900S,1960.0,0.0,2002.0,,,
0202960UG3900S,1975.0,,2001.0,,,
0202961UG3900S,1985.0,0.0,1985.0,,,
0202962UG3900S,1965.0,0.0,,1990.0,,
0202963UG3900S,1992.0,0.0,,,,
0202964UG3900S,2008.0,0.0,,,,2008.0
0202965UG3900S,1990.0,0.0,1990.0,,,
0202966UG3900S,1980.0,0.0,,,,
0202968UG3900S,1990.0,0.0,,,,
0202969UG3900S,1960.0,,,1998.0,,
0202970UG3900S,1984.0,0.0,,,,
0202972UG3900S,1960.0,,1990.0,,,
0202973UG3900S,1989.0,0.0,,,,
0202974UG3900S,1960.0,0.0,,,,
0202976UG3900S,1960.0,0.0,,,,
0202977UG3900S,1999.0,0.0,,,,
0202978UG3900S,1999.0,0.0,,,,
0202979UG3900S,1962.0,0.0,,,1992.0,
0202980UG3900S,1960.0,0.0,1992.0,,,
0202981UG3900S,1960.0,,1982.0,,,
0202982UG3900S,1977.0,,,2005.0,,
0202983UG3900S,1960.0,,,,2011.0,
0202984UG3900S,1960.0,0.0,2006.0,,,
0202985UG3900S,1992.0,0.0,,,,
0202986UG3900S,1960.0,,,1970.0,,
0202987UG3900S,1940.0,0.0,,,,
0202988UG3900S,1992.0,0.0,,,,
0202989UG3900S,1940.0,,1990.0,,,
0202990UG3900S,1993.0,0.0,,,,
0202991UG3900S,1986.0,0.0,,,,
0202992UG3900S,2008.0,0.0,,,,
0202993UG3900S,1986.0,0.0,,,,
0202994UG3900S,1960.0,0.0,,,,
0202995UG3900S,1960.0,0.0,,,,
0202996UG3900S,1960.0,0.0,,,,
0202997UG3900S,1960.0,,1985.0,,,
0202998UG3900S,1960.0,0.0,,,2004.0,
0202999UG3900S,1960.0,0.0,,,,
02029A0UG3900S,1960.0,0.0,,,,
02029A1UG3900S,1960.0,0.0,,,1998.0,
02029A2UG3900S,1990.0,0.0,,,,
02029A3UG3900S,1987.0,0.0,,,,
02029A4UG3900S,1960.0,0.0,,,,
02029A5UG3900S,1960.0,,1995.0,,,
02029A6UG3900S,1975.0,0.0,,,,
02029A8UG3900S,2006.0,0.0,,,,
02029A9UG3900S,2008.0,0.0,,,,
0206401UG3900N,2006.0,0.0,,,,
0206402UG3900N,1996.0,0.0,,,,
0206403UG3900N,1982.0,0.0,,,,
0206404UG3900N,2004.0,0.0,,,,
0206408UG3900N,1995.0,0.0,,,,
0206409UG3900N,1997.0,0.0,,,,
0206410UG3900N,2002.0,0.0,,,,
0206411UG3900N,2003.0,0.0,,,,
0206412UG3900N,1997.0,0.0,,,,
0210801UH4001S,1992.0,0.0,,,,
0210803UH4001S,1990.0,0.0,,,,
0210804UH4001S,1995.0,0.0,,,,
0210805UH4001S,1999.0,0.0,,,,
0210807UH4001S,1980.0,0.0,,,,
0210808UH4001S,1981.0,0.0,,,,
0210809UH4001S,1984.0,0.0,,,,
0210810UH4001S,1978.0,0.0,,,,
0210811UH4001S,1978.0,0.0,,,,
0210812UH4001S,1976.0,0.0,,,,
0210813UH4001S,1989.0,0.0,,,,
0210814UH4001S,1980.0,0.0,,,,
0210815UH4001S,1982.0,0.0,,,,
0210816UH4001S,1979.0,0.0,,,,
0213201UG3901S,2000.0,0.0,,,,
0219002UG4901N,1980.0,0.0,,,,
0219003UG4901N,1980.0,0.0,,,,
0219004UG4901N,1994.0,0.0,,,,
0219005UG4901N,2007.0,0.0,,,,
0219006UG4901N,2009.0,0.0,,,,
0219007UG4901N,1991.0,0.0,,,,
0219008UG4901N,1997.0,0.0,,,,
0219009UG4901N,1980.0,0.0,,,,
0219010UG4901N,1980.0,0.0,,,,
0219011UG4901N,1985.0,0.0,,,,
0219012UG4901N,1975.0,0.0,,,,
0219014UG4901N,1970.0,0.0,,,,
0219015UG4901N,1997.0,0.0,,,,
0219016UG4901N,1975.0,0.0,,,,
0219017UG4901N,1997.0,0.0,,,,
0219018UG4901N,1972.0,0.0,,,,
0219019UG4901N,1980.0,0.0,,,,
0219023UG4901N,1981.0,0.0,,,,
0219024UG4901N,1975.0,0.0,,,,
0219026UG4901N,1996.0,0.0,,,,
0219027UG4901N,1975.0,0.0,1984.0,,,
0219028UG4901N,1994.0,0.0,,,,
0219029UG4901N,2002.6666666666667,0.0,,,,
0219030UG4901N,2001.5,0.0,,,,
0219031UG4901N,2001.0,0.0,,,,
0219032UG4901N,1975.0,0.0,1995.0,,,
0219033UG4901N,1976.0,0.0,1994.0,,,
0219034UG4901N,1972.0,0.0,,,,
0219035UG4901N,1972.0,0.0,,,,
0219036UG4901N,1995.0,0.0,,,,
0219037UG4901N,1990.0,0.0,,,,
0219038UG4901N,1995.0,0.0,,,,
0219039UG4901N,2008.0,0.0,,,,
0219040UG4901N,1975.0,0.0,,,,
0219041UG4901N,1975.0,0.0,,,,
0219042UG4901N,1991.0,0.0,,,,
0219043UG4901N,1997.2,0.0,,,,
0219045UG4901N,1991.0,0.0,,,,
0219047UG4901N,2003.0,0.0,,,,
0219048UG4901N,1996.0,0.0,,,,
0219050UG4901N,2003.0,0.0,,,,
0219051UG4901N,1993.0,0.0,,,,
0219052UG4901N,2005.0,0.0,,,,
0219053UG4901N,1992.0,0.0,,,,
0219054UG4901N,1994.0,0.0,,,,
0243601UG4904S,1981.0,0.0,,,,
0243602UG4904S,1981.0,0.0,,,,
0243603UG4904S,1981.0,0.0,,,,
