refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
3446807UG4934N,3446807UG4934N0002ZW,CL CONDE DE GONDOMAR,11  Z,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,416
3342557UG4934S,3342557UG4934S0001SO,CL FERNANDEZ RUANO,11  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,539
3841908UG4934S,3841908UG4934S0001XO,CL CARA,12  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,291
3441204UG4934S,3441204UG4934S0001DO,CL ROMERO,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,425
3642736UG4934S,3642736UG4934S0001XO,CL ENCARNACION,17  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,757
3342534UG4934S,3342534UG4934S0001BO,CL ROMERO,38  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,176
3342543UG4934S,3342543UG4934S0007AG,CL ALMANZOR,18  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,620
3443806UG4934S,3443806UG4934S0001LO,CL BUEN PASTOR,11  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,841
4535201UG4943N,4535201UG4943N0001XA,AV ARCANGEL,0  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14010,324
3733728UG4933S,3733728UG4933S0001IG,AV DE CADIZ,43  A,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14009,93
4324105UG4942S,4324105UG4942S0001UW,CL POLA ARGENTARIA,8  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14009,124
4135611UG4943N,4135611UG4943N0001KA,CL ACERA GRANADA,3  D,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14009,78
1029802UG4912N,1029802UG4912N0001KT,CR AEROPUERTO,0  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,636
3225503UG4932N,3225503UG4932N0002YF,AV DE CADIZ,58  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14009,900
1308504UG3910N,1308504UG3910N0002KY,CL CAÑADA REAL SORIANA,223  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14710,352
3673312UG4937S,3673312UG4937S0001MF,CL ACADEMICO SARAZA,6  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14012,71
2644312UG4924S,2644312UG4924S0001WT,PZ COSTA SOL,2  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,180
5457506UG4955N,5457506UG4955N0001LE,CL SAN PERFECTO,16  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14007,116
4053205UG4945S,4053205UG4945S0001BU,CL MORISCOS,3  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14001,603
3945702UG4934N,3945702UG4934N0001KQ,CL SANCHEZ PEÑA,6  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,978
