ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
2309515UG4920N,M,,0,5150
0355103UG4805N,M,,0,5147
2860202UG4926S,M,,0,5138
1204201UG3910S,M,,0,5131
0462102UG4806S,M,,0,5110
0759703UG4905N,M,,0,5087
0759704UG4905N,M,,0,5087
14900A08000205,M,,0,5086
3225512UG4932N,M,,0,5085
8635101UH3083N,M,,0,5073
3758202UG4935N,M,,0,5071
8880105UG4988S,M,,0,5050
0757903UG4905N,M,,0,5042
3976101UG4937N,M,,0,5028
0313203UG3901S,M,,0,4996
0359107UG4805N,M,,0,4992
0149301UG4904N,M,,0,4991
3401201UH5030S,M,,0,4940
2225603UG4922N,M,,0,4932
5061301UG4956S,M,,0,4922
14900A10200117,M,,0,4921
2770601UG4927S,M,,0,4912
6212503UG3961S,M,,0,4908
8140407UG3984S,M,,0,4845
8241808UG3984S,M,,0,4845
14900A08000071,M,,0,4828
9108202UH3090N,M,,0,4822
4673033UH4047S,M,,0,4818
14900A10900240,M,,0,4797
0255002UG4905N,M,,0,4787
3554125UG4935S,M,,0,4759
0607107UG3900N,M,,0,4751
14900A10700103,M,,0,4730
4215010UG3941N,M,,0,4722
1744801UG4914S,M,,0,4715
9258002UG4995N,M,,0,4715
9851601UG3995S,M,,0,4711
2616304UG4921N,M,,0,4687
1204601UG3910S,M,,0,4682
2259703UG4925N,M,,0,4671
3222037UH5032S,M,,0,4665
8376401UG4987N,M,,0,4660
8376402UG4987N,M,,0,4660
8376403UG4987N,M,,0,4660
14900A09200041,M,,0,4659
2259704UG4925N,M,,0,4659
0454902UG4905S,M,,0,4655
0853101UG4905S,M,,0,4635
5141604UG4954S,M,,0,4635
8140405UG3984S,M,,0,4628
2049102UG4914N,M,,0,4626
4163704UG4946S,M,,0,4614
8609402UH3080N,M,,0,4600
1836102UG4913N,M,,0,4561
2393101UG5929S,M,,0,4556
2625009UH5022N,M,,0,4545
1294615UG4919S,M,,0,4538
14900A11000110,M,,0,4530
14900A07600782,M,,0,4505
4668104UG3946N,M,,0,4500
8913927UH3081S,M,,0,4500
9110904UH3091S,M,,0,4500
3927612UG3932N,M,,0,4494
2108219UH3020N,M,,0,4490
9964304UG3996S,M,,0,4478
2872120UG4927S,M,,0,4473
0149302UG4904N,M,,0,4472
9863109UG4996S,M,,0,4461
1304201UG3910S,M,,0,4422
1934914UG4913S,M,,0,4415
3758201UG4935N,M,,0,4363
14900A10700111,M,,0,4362
8866313UG4986N,M,,0,4355
1304501UG3910S,M,,0,4348
1639802UG4913N,M,,0,4345
1404401UG3910S,M,,0,4337
2437501UG4923N,M,,0,4321
14900A11000112,M,,0,4294
14900A08600006,M,,0,4278
1640101UG4914S,M,,0,4270
1659701UG4915N,M,,0,4262
14900A10800050,M,,0,4259
9040302UG3994S,M,,0,4257
4371702UG4947S,M,,0,4239
8136102UG3983N,M,,0,4236
8136103UG3983N,M,,0,4236
0254301UG4905S,M,,0,4219
0154301UG4905S,M,,0,4217
0354401UG4905S,M,,0,4217
0354402UG4905S,M,,0,4217
0154302UG4905S,M,,0,4216
2584602UG4928S,M,,0,4204
14900A10900079,M,,0,4203
5292401UG5959S,M,,0,4200
2552701UG4925S,M,,0,4198
1164114UG4816S,M,,0,4193
14900A10900073,M,,0,4186
8368651UG4986N,M,,0,4183
0254302UG4905S,M,,0,4175
14900A10809026,M,,0,4166
4697310UG5949N,M,,0,4150
0341402UG4904S,M,,0,4140
1187620UG4918N,M,,0,4107
5292412UG5959S,M,,0,4100
14900A10900077,M,,0,4095
2860203UG4926S,M,,0,4092
3596003UG3939N,M,,0,4088
